,Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
0,NAIL,Sell to Open,06/16/2023,38,$60.00,$3.30,$3.20,$3.40,5%,,N,$55.27,5.97%,58.9%,8.56%
1,TZA,Sell to Open,06/23/2023,45,$45.00,$1.43,$0.04,$2.82,13%,,N,$33.79,4.23%,35.11%,33.18%
2,U,Sell to Open,06/23/2023,45,$35.00,$1.04,$0.98,$1.10,27%,05/10/2023,Y,$28.28,3.68%,30.51%,23.76%
3,KOLD,Sell to Open,06/23/2023,45,$122.00,$2.34,$2.30,$2.40,1%,,N,$77.00,3.05%,25.32%,58.44%
4,FSLY,Sell to Open,06/23/2023,45,$15.00,$0.32,$0.28,$0.36,0%,08/02/2023,N,$12.31,2.6%,21.56%,21.85%
5,VXX,Sell to Open,06/23/2023,45,$60.00,$0.93,$0.68,$1.19,28%,,N,$39.03,2.4%,19.87%,53.73%
6,SPXU,Sell to Open,06/23/2023,45,$17.00,$0.31,$0.28,$0.35,4%,,N,$13.43,2.35%,19.46%,26.58%
7,SOXL,Sell to Open,06/23/2023,45,$18.00,$0.32,$0.30,$0.35,2%,,N,$13.94,2.33%,19.34%,29.12%
8,COIN,Sell to Open,06/23/2023,45,$85.00,$1.33,$1.27,$1.39,4%,08/08/2023,N,$60.21,2.21%,18.32%,41.17%
9,PARA,Sell to Open,06/23/2023,45,$19.00,$0.35,$0.33,$0.38,34%,08/03/2023,N,$16.53,2.15%,17.82%,14.94%
10,XRT,Sell to Open,06/23/2023,45,$67.00,$1.26,$0.06,$2.47,42%,,N,$61.36,2.06%,17.1%,9.19%
11,RUN,Sell to Open,06/23/2023,45,$22.00,$0.34,$0.30,$0.39,21%,08/02/2023,N,$16.81,2.05%,17.03%,30.87%
12,DOCU,Sell to Open,06/23/2023,45,$60.00,$1.00,$0.94,$1.07,24%,06/09/2023,Y,$49.43,2.03%,16.87%,21.38%
13,RBLX,Sell to Open,06/23/2023,45,$45.00,$0.72,$0.66,$0.78,11%,05/10/2023,Y,$36.19,1.99%,16.5%,24.34%
14,SPXS,Sell to Open,06/23/2023,45,$23.50,$0.35,$0.30,$0.40,5%,,N,$17.65,1.98%,16.45%,33.14%
15,TQQQ,Sell to Open,06/23/2023,45,$33.00,$0.55,$0.31,$0.79,0%,,N,$27.89,1.97%,16.36%,18.32%
16,IWN,Sell to Open,06/16/2023,38,$140.00,$2.54,$0.30,$4.80,40%,,N,$131.17,1.94%,19.18%,6.73%
17,NUGT,Sell to Open,06/23/2023,45,$65.00,$0.95,$0.80,$1.10,14%,,N,$49.15,1.93%,16.03%,32.25%
18,JETS,Sell to Open,06/23/2023,45,$19.00,$0.35,$0.34,$0.36,6%,,N,$18.18,1.93%,15.97%,4.51%
19,M,Sell to Open,06/23/2023,45,$18.00,$0.28,$0.25,$0.32,34%,06/01/2023,Y,$15.00,1.9%,15.76%,20%
20,PDD,Sell to Open,06/23/2023,45,$76.00,$1.15,$1.05,$1.26,25%,05/25/2023,Y,$61.41,1.88%,15.6%,23.76%
21,PENN,Sell to Open,06/23/2023,45,$30.00,$0.49,$0.42,$0.57,15%,08/03/2023,N,$26.37,1.88%,15.57%,13.77%
22,TCOM,Sell to Open,06/16/2023,38,$36.00,$0.60,$0.55,$0.65,6%,05/17/2023,Y,$32.48,1.85%,18.22%,10.84%
23,CLF,Sell to Open,06/23/2023,45,$17.50,$0.27,$0.25,$0.29,11%,07/21/2023,N,$15.04,1.8%,14.89%,16.36%
24,JNPR,Sell to Open,06/23/2023,45,$30.00,$0.52,$0.35,$0.70,10%,07/25/2023,N,$29.10,1.8%,14.97%,3.09%
25,X,Sell to Open,06/23/2023,45,$25.00,$0.38,$0.36,$0.40,12%,07/27/2023,N,$21.59,1.76%,14.6%,15.79%
26,MDB,Sell to Open,06/23/2023,45,$320.00,$4.40,$4.20,$4.60,34%,06/01/2023,Y,$250.28,1.76%,14.58%,27.86%
27,TTD,Sell to Open,06/23/2023,45,$80.00,$1.09,$1.04,$1.15,25%,05/10/2023,Y,$64.12,1.71%,14.17%,24.77%
28,SQQQ,Sell to Open,06/23/2023,45,$40.00,$0.49,$0.30,$0.69,0%,,N,$29.20,1.7%,14.06%,36.99%
29,FUTU,Sell to Open,06/23/2023,45,$53.00,$0.72,$0.63,$0.81,11%,05/18/2023,Y,$42.64,1.69%,14.01%,24.3%
30,ZS,Sell to Open,06/23/2023,45,$135.00,$1.85,$1.61,$2.10,27%,06/01/2023,Y,$110.04,1.69%,13.98%,22.68%
31,JNUG,Sell to Open,06/23/2023,45,$65.00,$0.77,$0.30,$1.25,13%,,N,$46.64,1.66%,13.78%,39.37%
32,MDT,Sell to Open,06/23/2023,45,$97.00,$1.47,$0.31,$2.63,49%,05/25/2023,Y,$89.60,1.64%,13.61%,8.26%
33,ENPH,Sell to Open,06/23/2023,45,$190.00,$2.54,$2.46,$2.62,1%,07/25/2023,N,$157.83,1.61%,13.35%,20.38%
34,AGQ,Sell to Open,06/16/2023,38,$45.00,$0.55,$0.50,$0.60,33%,,N,$34.89,1.58%,15.55%,28.98%
35,LUV,Sell to Open,06/23/2023,45,$32.00,$0.46,$0.43,$0.50,19%,07/27/2023,N,$29.63,1.57%,13.02%,8%
36,BTU,Sell to Open,06/23/2023,45,$27.00,$0.36,$0.33,$0.40,2%,07/27/2023,N,$23.18,1.57%,13.06%,16.48%
37,DDOG,Sell to Open,06/23/2023,45,$95.00,$1.24,$1.10,$1.39,2%,08/09/2023,N,$79.59,1.56%,12.98%,19.36%
38,KMX,Sell to Open,06/23/2023,45,$85.00,$1.10,$1.00,$1.20,11%,06/23/2023,N,$72.53,1.52%,12.58%,17.19%
39,ANF,Sell to Open,06/23/2023,45,$29.00,$0.35,$0.25,$0.45,35%,05/24/2023,Y,$23.44,1.49%,12.39%,23.72%
40,AR,Sell to Open,06/23/2023,45,$25.00,$0.31,$0.28,$0.35,9%,07/26/2023,N,$21.10,1.49%,12.38%,18.48%
41,CRWD,Sell to Open,06/23/2023,45,$155.00,$1.93,$1.82,$2.04,27%,05/31/2023,Y,$129.94,1.49%,12.32%,19.29%
42,ALK,Sell to Open,06/16/2023,38,$47.50,$0.64,$0.60,$0.70,19%,07/20/2023,N,$43.90,1.48%,14.61%,8.2%
43,SOFI,Sell to Open,06/23/2023,45,$7.00,$0.08,$0.06,$0.10,9%,08/01/2023,N,$5.41,1.48%,12.27%,29.39%
44,TWLO,Sell to Open,06/23/2023,45,$75.00,$0.83,$0.72,$0.94,43%,05/09/2023,Y,$56.00,1.48%,12.3%,33.93%
45,BILL,Sell to Open,06/23/2023,45,$120.00,$1.42,$1.30,$1.55,0%,08/17/2023,N,$96.31,1.48%,12.27%,24.6%
46,MT,Sell to Open,06/23/2023,45,$30.00,$0.40,$0.35,$0.45,11%,07/27/2023,N,$27.57,1.45%,12.04%,8.81%
47,CAG,Sell to Open,06/23/2023,45,$39.00,$0.55,$0.50,$0.60,14%,07/13/2023,N,$37.81,1.45%,12.07%,3.15%
48,FLEX,Sell to Open,06/16/2023,38,$23.00,$0.30,$0.25,$0.35,37%,05/10/2023,Y,$20.92,1.43%,14.15%,9.94%
49,CPRI,Sell to Open,06/16/2023,38,$45.00,$0.52,$0.45,$0.60,38%,05/31/2023,Y,$37.28,1.41%,13.89%,20.71%
50,GNRC,Sell to Open,06/23/2023,45,$132.00,$1.57,$1.45,$1.70,8%,08/02/2023,N,$111.77,1.41%,11.69%,18.1%
51,UCO,Sell to Open,06/23/2023,45,$31.00,$0.35,$0.20,$0.50,14%,,N,$24.87,1.41%,11.67%,24.65%
52,SE,Sell to Open,06/23/2023,45,$105.00,$1.16,$1.06,$1.27,18%,05/16/2023,Y,$84.00,1.39%,11.51%,25%
53,LI,Sell to Open,06/23/2023,45,$31.00,$0.34,$0.30,$0.38,10%,05/10/2023,Y,$24.77,1.37%,11.39%,25.15%
54,ROKU,Sell to Open,06/23/2023,45,$70.00,$0.75,$0.72,$0.79,2%,07/27/2023,N,$55.42,1.36%,11.3%,26.31%
55,INTC,Sell to Open,06/23/2023,45,$33.00,$0.41,$0.39,$0.43,15%,07/27/2023,N,$30.10,1.36%,11.3%,9.63%
56,MRNA,Sell to Open,06/23/2023,45,$155.00,$1.81,$1.66,$1.96,1%,08/03/2023,N,$133.77,1.35%,11.22%,15.87%
57,JD,Sell to Open,06/23/2023,45,$44.00,$0.48,$0.46,$0.50,21%,05/11/2023,Y,$35.62,1.35%,11.18%,23.53%
58,CAR,Sell to Open,06/23/2023,45,$200.00,$2.17,$1.65,$2.70,13%,07/31/2023,N,$161.41,1.35%,11.18%,23.91%
59,AER,Sell to Open,06/16/2023,38,$60.00,$0.75,$0.60,$0.90,5%,08/10/2023,N,$56.00,1.34%,13.21%,7.14%
60,AA,Sell to Open,06/23/2023,45,$44.00,$0.49,$0.44,$0.54,11%,07/19/2023,N,$36.51,1.34%,11.13%,20.51%
61,MASI,Sell to Open,06/16/2023,38,$210.00,$2.44,$0.30,$4.60,33%,05/09/2023,Y,$184.25,1.33%,13.12%,13.98%
62,SNOW,Sell to Open,06/23/2023,45,$205.00,$2.17,$2.04,$2.30,18%,05/24/2023,Y,$163.87,1.32%,10.99%,25.1%
63,TMV,Sell to Open,06/16/2023,38,$145.00,$1.52,$1.45,$1.60,16%,,N,$115.79,1.32%,12.99%,25.23%
64,TDOC,Sell to Open,06/23/2023,45,$31.00,$0.32,$0.30,$0.36,1%,07/26/2023,N,$25.07,1.32%,10.92%,23.65%
65,SARK,Sell to Open,06/23/2023,45,$51.00,$0.55,$0.35,$0.75,0%,,N,$41.96,1.31%,10.87%,21.54%
66,SPLK,Sell to Open,06/23/2023,45,$100.00,$1.10,$1.00,$1.20,23%,05/24/2023,Y,$84.88,1.3%,10.75%,17.81%
67,CZR,Sell to Open,06/23/2023,45,$54.00,$0.59,$0.51,$0.67,7%,08/01/2023,N,$45.42,1.3%,10.78%,18.89%
68,HRB,Sell to Open,06/16/2023,38,$37.00,$0.42,$0.40,$0.45,42%,05/09/2023,Y,$32.76,1.3%,12.8%,12.94%
69,SHOP,Sell to Open,06/23/2023,45,$77.00,$0.81,$0.77,$0.86,1%,07/26/2023,N,$63.89,1.28%,10.58%,20.52%
70,SEDG,Sell to Open,06/23/2023,45,$350.00,$3.65,$3.50,$3.80,7%,08/01/2023,N,$286.26,1.28%,10.58%,22.27%
71,TEAM,Sell to Open,06/23/2023,45,$160.00,$1.70,$1.50,$1.90,7%,08/10/2023,N,$133.15,1.28%,10.59%,20.17%
72,TSLA,Sell to Open,06/23/2023,45,$200.00,$2.14,$2.04,$2.25,3%,07/19/2023,N,$169.15,1.27%,10.52%,18.24%
73,SDS,Sell to Open,06/23/2023,45,$48.00,$0.50,$0.40,$0.60,6%,,N,$39.98,1.25%,10.37%,20.06%
74,HUBS,Sell to Open,06/23/2023,45,$530.00,$5.60,$3.30,$7.90,3%,08/02/2023,N,$447.73,1.25%,10.38%,18.37%
75,HRL,Sell to Open,06/23/2023,45,$43.00,$0.50,$0.20,$0.80,38%,06/01/2023,Y,$40.16,1.25%,10.33%,7.07%
